trial_id,participant_id,pair_id,item_a_id,item_b_id,left_item_id,right_item_id,raw_answer,chosen_left,study_fit_id
41,3,item_070__item_080,item_070,item_080,item_080,item_070,First sound,True,1
42,3,item_029__item_034,item_029,item_034,item_034,item_029,First sound,True,1
43,3,item_028__item_029,item_028,item_029,item_029,item_028,First sound,True,1
44,3,item_068__item_073,item_068,item_073,item_073,item_068,Second sound,False,1
45,3,item_094__item_095,item_094,item_095,item_095,item_094,First sound,True,1
47,3,item_019__item_094,item_019,item_094,item_094,item_019,First sound,True,1
46,3,item_085__item_090,item_085,item_090,item_085,item_090,First sound,True,1
48,3,item_046__item_048,item_046,item_048,item_046,item_048,Second sound,False,2
49,3,item_073__item_078,item_073,item_078,item_078,item_073,Second sound,False,2
52,3,item_011__item_012,item_011,item_012,item_011,item_012,First sound,True,2
50,3,item_019__item_021,item_019,item_021,item_019,item_021,Second sound,False,2
51,3,item_023__item_028,item_023,item_028,item_028,item_023,Second sound,False,2
53,3,item_021__item_023,item_021,item_023,item_023,item_021,First sound,True,2
54,3,item_011__item_021,item_011,item_021,item_011,item_021,Second sound,False,2
55,3,item_035__item_040,item_035,item_040,item_035,item_040,First sound,True,2
56,3,item_020__item_095,item_020,item_095,item_020,item_095,Second sound,False,2
58,3,item_026__item_051,item_026,item_051,item_026,item_051,First sound,True,2
57,3,item_048__item_073,item_048,item_073,item_073,item_048,First sound,True,2
59,3,item_019__item_020,item_019,item_020,item_020,item_019,Second sound,False,2
63,4,item_045__item_047,item_045,item_047,item_047,item_045,Second sound,False,2
62,4,item_024__item_026,item_024,item_026,item_024,item_026,Second sound,False,2
60,3,item_046__item_047,item_046,item_047,item_046,item_047,First sound,True,2
61,4,item_023__item_024,item_023,item_024,item_023,item_024,First sound,True,2
64,4,item_014__item_019,item_014,item_019,item_019,item_014,Second sound,False,2
65,4,item_041__item_046,item_041,item_046,item_041,item_046,Second sound,False,2
66,4,item_041__item_051,item_041,item_051,item_041,item_051,Second sound,False,2
67,4,item_012__item_037,item_012,item_037,item_012,item_037,Second sound,False,2
69,4,item_046__item_048,item_046,item_048,item_046,item_048,Second sound,False,2
68,4,item_078__item_079,item_078,item_079,item_078,item_079,Second sound,False,2
70,4,item_034__item_039,item_034,item_039,item_034,item_039,First sound,True,2
71,4,item_035__item_045,item_035,item_045,item_045,item_035,Second sound,False,2
74,4,item_043__item_045,item_043,item_045,item_045,item_043,First sound,True,2
72,4,item_047__item_052,item_047,item_052,item_052,item_047,Second sound,False,2
73,4,item_024__item_034,item_024,item_034,item_024,item_034,Second sound,False,2
75,4,item_023__item_025,item_023,item_025,item_023,item_025,Second sound,False,2
76,4,item_079__item_081,item_079,item_081,item_081,item_079,First sound,True,2
77,4,item_025__item_026,item_025,item_026,item_025,item_026,First sound,True,2
78,4,item_095__item_097,item_095,item_097,item_095,item_097,Second sound,False,2
80,4,item_023__item_098,item_023,item_098,item_023,item_098,First sound,True,2
79,4,item_011__item_021,item_011,item_021,item_021,item_011,First sound,True,2
