decision_id,trial_id,participant_id,selected_candidate_id,study_fit_id,participant_history_count,candidate_pool_version,selected_utility,eligible_candidate_count,eligible_candidate_ids_sha256,excluded_candidate_ids,candidate_reconstruction,objective_components,optimizer_version,posterior_version,data_version,observation_fingerprint,scoring_seconds,posterior_predictive
11,11,1,item_054__item_064,1,10,feb667101ba568ca,1.960516286937217,490,c04d1ad558f8603de220707e7bda5287403719d473ed0f9f3ff6329cdd23c025,"['item_002__item_003', 'item_005__item_030', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_059__item_069', 'item_064__item_069', 'item_067__item_069', 'item_070__item_075', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 490}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003086520009674132,"[0.5, 0.5]"
12,12,1,item_060__item_065,1,11,feb667101ba568ca,1.960516286937217,489,98c816b61756f48ceb95753c9d3577e61735887836e5d59ac1d05c667ab8b527,"['item_002__item_003', 'item_005__item_030', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_054__item_064', 'item_059__item_069', 'item_064__item_069', 'item_067__item_069', 'item_070__item_075', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 489}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.000304162000247743,"[0.5, 0.5]"
13,13,1,item_022__item_027,1,12,feb667101ba568ca,1.960516286937217,488,2af913aa109ed5bacbf4c208d88fdf70a5d2ed2dca7e942f26bd9210264fdeac,"['item_002__item_003', 'item_005__item_030', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_054__item_064', 'item_059__item_069', 'item_060__item_065', 'item_064__item_069', 'item_067__item_069', 'item_070__item_075', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 488}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030514600075548515,"[0.5, 0.5]"
14,14,1,item_001__item_091,1,13,feb667101ba568ca,1.960516286937217,487,00ac1b91583c400c1b335a6d268cda377fb6392396cf21e1429a373d1563aac2,"['item_002__item_003', 'item_005__item_030', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_022__item_027', 'item_054__item_064', 'item_059__item_069', 'item_060__item_065', 'item_064__item_069', 'item_067__item_069', 'item_070__item_075', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 487}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003033169996342622,"[0.5, 0.5]"
15,15,1,item_064__item_065,1,14,feb667101ba568ca,1.960516286937217,486,97b19617392ef258f1f64afabe361d7ed61ad89b11f5d80c72553a5ae6317b59,"['item_001__item_091', 'item_002__item_003', 'item_005__item_030', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_022__item_027', 'item_054__item_064', 'item_059__item_069', 'item_060__item_065', 'item_064__item_069', 'item_067__item_069', 'item_070__item_075', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 486}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030827000045974273,"[0.5, 0.5]"
16,16,1,item_006__item_031,1,15,feb667101ba568ca,1.960516286937217,485,3f0d44bc585e044d6983705364d036893261a366919c10e716d9c2a62ac82305,"['item_001__item_091', 'item_002__item_003', 'item_005__item_030', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_022__item_027', 'item_054__item_064', 'item_059__item_069', 'item_060__item_065', 'item_064__item_065', 'item_064__item_069', 'item_067__item_069', 'item_070__item_075', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 485}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003084210002270993,"[0.5, 0.5]"
17,17,1,item_055__item_057,1,16,feb667101ba568ca,1.960516286937217,484,485a0a2dd221579b1f620ab640d820d4e00668e31ae9d0cdb445238ed3b6ecf8,"['item_001__item_091', 'item_002__item_003', 'item_005__item_030', 'item_006__item_031', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_022__item_027', 'item_054__item_064', 'item_059__item_069', 'item_060__item_065', 'item_064__item_065', 'item_064__item_069', 'item_067__item_069', 'item_070__item_075', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 484}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003013280002051033,"[0.5, 0.5]"
18,18,1,item_044__item_054,1,17,feb667101ba568ca,1.960516286937217,483,adbadf3f7a4b7a2519fffed0366a2da35588e6177b7322fc1a7825ecf6b86792,"['item_001__item_091', 'item_002__item_003', 'item_005__item_030', 'item_006__item_031', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_022__item_027', 'item_054__item_064', 'item_055__item_057', 'item_059__item_069', 'item_060__item_065', 'item_064__item_065', 'item_064__item_069', 'item_067__item_069', 'item_070__item_075', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 483}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00031023400151752867,"[0.5, 0.5]"
19,19,1,item_059__item_064,1,18,feb667101ba568ca,1.960516286937217,482,f4cba8b3ef1ae4af7ed4242bb7ddce830e731d07f61fdc9f62d41284299104d9,"['item_001__item_091', 'item_002__item_003', 'item_005__item_030', 'item_006__item_031', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_022__item_027', 'item_044__item_054', 'item_054__item_064', 'item_055__item_057', 'item_059__item_069', 'item_060__item_065', 'item_064__item_065', 'item_064__item_069', 'item_067__item_069', 'item_070__item_075', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 482}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0002985560004162835,"[0.5, 0.5]"
20,20,1,item_085__item_090,1,19,feb667101ba568ca,1.960516286937217,481,4b39c6addf0e97cbdfec0042541aba355dfd8de97775eed76699a8c6be057699,"['item_001__item_091', 'item_002__item_003', 'item_005__item_030', 'item_006__item_031', 'item_009__item_084', 'item_009__item_099', 'item_010__item_015', 'item_022__item_027', 'item_044__item_054', 'item_054__item_064', 'item_055__item_057', 'item_059__item_064', 'item_059__item_069', 'item_060__item_065', 'item_064__item_065', 'item_064__item_069', 'item_067__item_069', 'item_070__item_075', 'item_086__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 481}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030048199914745055,"[0.5, 0.5]"
21,21,2,item_082__item_084,1,0,feb667101ba568ca,1.960516286937217,500,9b4439d0db509973b1ffbcfd044e87fe87ce8efa3bd6f03634199bbfa5c125ea,[],All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 500}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003318960007163696,"[0.5, 0.5]"
22,22,2,item_070__item_071,1,1,feb667101ba568ca,1.960516286937217,499,97f11200d9cfc2173972a2855cb20e6ef6f31a5b5a6ab3faeb6b4287ae711acd,['item_082__item_084'],All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 499}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003025919995707227,"[0.5, 0.5]"
23,23,2,item_036__item_038,1,2,feb667101ba568ca,1.960516286937217,498,0d4328271d588fab134f6aa0826ec3ae6abc570401c0f74e9b1b93ee8f1846ea,"['item_070__item_071', 'item_082__item_084']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 498}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003030099996976787,"[0.5, 0.5]"
24,24,2,item_074__item_099,1,3,feb667101ba568ca,1.960516286937217,497,b1ac62b086105866aee4a7d51deaa00b24c747a4fe45c6164afeccc328ed4bc2,"['item_036__item_038', 'item_070__item_071', 'item_082__item_084']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 497}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030639599935966544,"[0.5, 0.5]"
25,25,2,item_017__item_092,1,4,feb667101ba568ca,1.960516286937217,496,d0d98c858a3a383163e6c89e52be7b9c052d4a1cbe7c468f8cebe2d02a3f2ebd,"['item_036__item_038', 'item_070__item_071', 'item_074__item_099', 'item_082__item_084']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 496}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030565100132662337,"[0.5, 0.5]"
26,26,2,item_077__item_087,1,5,feb667101ba568ca,1.960516286937217,495,2f0580829926d9f1b6442bcb9c243f08c7d0bdc977cb5a39ed00cb1416b92bb3,"['item_017__item_092', 'item_036__item_038', 'item_070__item_071', 'item_074__item_099', 'item_082__item_084']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 495}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003083120009250706,"[0.5, 0.5]"
27,27,2,item_013__item_018,1,6,feb667101ba568ca,1.960516286937217,494,6b73da1dfc78eb561aecb5bf18e0212210c997dcefb99783207db5092ae79eed,"['item_017__item_092', 'item_036__item_038', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 494}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003038100003323052,"[0.5, 0.5]"
28,28,2,item_066__item_076,1,7,feb667101ba568ca,1.960516286937217,493,3659aa09dcb23c5c22809bd5092ed6227d7e60ef26119ebf654a35bba79839e2,"['item_013__item_018', 'item_017__item_092', 'item_036__item_038', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 493}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003034569999726955,"[0.5, 0.5]"
29,29,2,item_053__item_058,1,8,feb667101ba568ca,1.960516286937217,492,07ddba5274b2342408a894ce2b6b482b6ef4ec3f286d9c24d5713956297e8b2a,"['item_013__item_018', 'item_017__item_092', 'item_036__item_038', 'item_066__item_076', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 492}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030239700026868377,"[0.5, 0.5]"
30,30,2,item_056__item_058,1,9,feb667101ba568ca,1.960516286937217,491,20cb258c28450fa11f9fd9ff47ec3514a8d4718ec2c4803d9bfd2852f2534bd9,"['item_013__item_018', 'item_017__item_092', 'item_036__item_038', 'item_053__item_058', 'item_066__item_076', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 491}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030351900022651535,"[0.5, 0.5]"
31,31,2,item_049__item_050,1,10,feb667101ba568ca,1.960516286937217,490,069fd651c1f3b83daf38cecdba2b22978f74f1dcd01cfbfedbbff4c3a1e0fde5,"['item_013__item_018', 'item_017__item_092', 'item_036__item_038', 'item_053__item_058', 'item_056__item_058', 'item_066__item_076', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 490}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030434400105150416,"[0.5, 0.5]"
32,32,2,item_017__item_042,1,11,feb667101ba568ca,1.960516286937217,489,7fab237295884e0bab0b2e00163ff885f34981c7731c5296f078a03d01629cb0,"['item_013__item_018', 'item_017__item_092', 'item_036__item_038', 'item_049__item_050', 'item_053__item_058', 'item_056__item_058', 'item_066__item_076', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 489}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030221999986679293,"[0.5, 0.5]"
33,33,2,item_083__item_088,1,12,feb667101ba568ca,1.960516286937217,488,8084953997ac401ffb6d32867ba354ac25d2dec4ed2b25194f39e3328ec79849,"['item_013__item_018', 'item_017__item_042', 'item_017__item_092', 'item_036__item_038', 'item_049__item_050', 'item_053__item_058', 'item_056__item_058', 'item_066__item_076', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 488}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030298599995148834,"[0.5, 0.5]"
34,34,2,item_094__item_096,1,13,feb667101ba568ca,1.960516286937217,487,b942bd79c4a271851b4921633229b5a72dc75c446580ea80f35c6e3783dc16af,"['item_013__item_018', 'item_017__item_042', 'item_017__item_092', 'item_036__item_038', 'item_049__item_050', 'item_053__item_058', 'item_056__item_058', 'item_066__item_076', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084', 'item_083__item_088']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 487}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003005639991897624,"[0.5, 0.5]"
35,35,2,item_031__item_033,1,14,feb667101ba568ca,1.960516286937217,486,34aeef1583ecf7f0817940586a9799ff6522fecbb4340b51dc7ec7e8a8ef34db,"['item_013__item_018', 'item_017__item_042', 'item_017__item_092', 'item_036__item_038', 'item_049__item_050', 'item_053__item_058', 'item_056__item_058', 'item_066__item_076', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084', 'item_083__item_088', 'item_094__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 486}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00031235700043907855,"[0.5, 0.5]"
36,36,2,item_094__item_099,1,15,feb667101ba568ca,1.960516286937217,485,d876d94b893aa871711d210d3e8911021f58072f831d5d1bd58021942ba3bc66,"['item_013__item_018', 'item_017__item_042', 'item_017__item_092', 'item_031__item_033', 'item_036__item_038', 'item_049__item_050', 'item_053__item_058', 'item_056__item_058', 'item_066__item_076', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084', 'item_083__item_088', 'item_094__item_096']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 485}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030214099933800753,"[0.5, 0.5]"
37,37,2,item_089__item_091,1,16,feb667101ba568ca,1.960516286937217,484,79f0e6cfbffaca3f88cc7d497c4f8b3dedc7f3fecaa2ec500954593eecdb433d,"['item_013__item_018', 'item_017__item_042', 'item_017__item_092', 'item_031__item_033', 'item_036__item_038', 'item_049__item_050', 'item_053__item_058', 'item_056__item_058', 'item_066__item_076', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084', 'item_083__item_088', 'item_094__item_096', 'item_094__item_099']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 484}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.0003167369995935587,"[0.5, 0.5]"
38,38,2,item_007__item_017,1,17,feb667101ba568ca,1.960516286937217,483,e10076cc9d3a0b08ad9a5233089b1ecc9c6c3a80c12174ffe74b54e7a2afbbe4,"['item_013__item_018', 'item_017__item_042', 'item_017__item_092', 'item_031__item_033', 'item_036__item_038', 'item_049__item_050', 'item_053__item_058', 'item_056__item_058', 'item_066__item_076', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084', 'item_083__item_088', 'item_089__item_091', 'item_094__item_096', 'item_094__item_099']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 483}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.000302447999274591,"[0.5, 0.5]"
39,39,2,item_070__item_075,1,18,feb667101ba568ca,1.960516286937217,482,2d18f8fdd5724d372c650d86885faae63ff66fe59f7dca0fb74513f3bde02dc5,"['item_007__item_017', 'item_013__item_018', 'item_017__item_042', 'item_017__item_092', 'item_031__item_033', 'item_036__item_038', 'item_049__item_050', 'item_053__item_058', 'item_056__item_058', 'item_066__item_076', 'item_070__item_071', 'item_074__item_099', 'item_077__item_087', 'item_082__item_084', 'item_083__item_088', 'item_089__item_091', 'item_094__item_096', 'item_094__item_099']",All pair IDs generated from the versioned item-bank manifest minus excluded_candidate_ids.,"{'predictive_entropy_uncertainty_score': 1.960516286937217, 'candidate_count': 482}",predictive-entropy-v1,bradley-terry-bootstrap-v1,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.00030159600100887474,"[0.5, 0.5]"
